,owner-id,owner-age,owner-gender,municipality,neighbourhood,dog-race,dog-birth-year,dog-gender,dog-colour
0,126,61-70,m,9,92,Welsh Terrier,2011,w,schwarz/braun
1,171,61-70,m,3,31,Berner Sennenhund,2009,m,tricolor
2,574,61-70,w,2,23,Mischling gross,2013,w,schwarz
3,695,41-50,m,6,63,Labrador Retriever,2012,w,braun
4,893,61-70,w,7,71,Mittelschnauzer,2010,w,schwarz
5,1177,51-60,m,10,102,Shih Tzu,2011,m,schwarz/weiss
6,4004,61-70,w,3,34,Dackel,2010,m,braun
7,4050,41-50,w,11,111,Bichon frisé,2012,m,weiss
8,4054,51-60,w,11,111,Lagotto Romagnolo,2016,w,weiss/beige
9,4155,61-70,w,9,92,Zwergdackel,2002,m,schwarz/grau
10,4206,71-80,w,8,82,Havaneser,2016,w,hellbraun/weiss
11,4215,41-50,w,8,81,Bergamasker,2004,w,schwarz
12,4215,41-50,w,8,81,Border Collie,2001,m,schwarz
13,4239,61-70,w,10,102,Pinscher,2013,w,braun/schwarz
14,4261,71-80,w,7,71,Labrador Retriever,2012,w,beige
15,4281,61-70,w,9,91,Chihuahua,2014,w,schwarz/weiss/braun
16,4281,61-70,w,9,91,Chihuahua,2011,w,hellbraun
17,4726,51-60,m,5,52,Golden Retriever,2013,w,creme
18,4726,51-60,m,5,52,Mischling klein,2007,m,schwarz
19,4786,41-50,m,3,34,Weimaraner,2013,w,silber
20,4801,51-60,m,4,42,Tibetan Spaniel,2013,w,schwarz/braun
21,4850,51-60,m,4,42,Chihuahua,2013,w,beige
22,4880,51-60,m,5,52,Leonberger,2011,m,goldbraun
23,4889,51-60,m,8,82,Shiba Inu,2003,w,rotbraun
24,5040,61-70,m,10,102,Labrador Retriever,2016,w,gelb
25,5088,51-60,m,7,72,Labrador Retriever,2014,w,schwarz
26,5113,61-70,m,11,119,Beagle,2010,w,tricolor
27,5225,61-70,m,3,34,Lagotto Romagnolo,2007,m,braun
28,5227,71-80,m,10,101,Border Terrier,2011,w,tricolor
29,5348,61-70,m,7,74,Magyar Viszla,2005,w,gelb
30,5406,51-60,m,6,61,Französische Bulldogge,2013,m,weiss/schwarz
31,5740,51-60,m,9,92,Jack Russel Terrier,2015,w,weiss/braun
32,6071,61-70,m,3,34,Cocker Spaniel,2014,m,schwarz
33,6071,61-70,m,3,34,Pointer,2016,m,schwarz
34,6071,61-70,m,3,34,Pointer,2012,w,schwarz/braun
35,6314,61-70,m,10,101,Jack Russel Terrier,2005,w,tricolor
36,6321,51-60,w,8,81,Mops,2011,m,beige
37,6469,41-50,m,11,111,Mops,2011,m,beige
38,6594,51-60,m,7,72,Staffordshire Bull Terrier,2005,w,mahagoni/weiss
39,6600,51-60,m,6,63,Mischling klein,2004,m,braun
40,6617,61-70,w,12,122,Grosspudel,2012,w,weiss
41,6619,41-50,w,11,111,Lhasa Apso,2015,w,golden
42,6629,51-60,w,4,41,Chihuahua,2010,w,beige
43,6629,51-60,w,4,41,Chihuahua,2010,m,black/tan
44,6640,51-60,m,8,82,Englische Bulldogge,2011,m,braun/weiss
45,12349,61-70,m,4,41,English Springer Spaniel,2005,m,braun/weiss
46,12409,61-70,m,9,91,Mischling klein,2008,w,weiss/schwarz/braun
47,13193,51-60,m,11,111,Langhaardackel,2005,w,hellbraun
48,14362,61-70,m,7,72,Zwergdachshund,2004,w,saufarben
49,14387,61-70,m,5,52,Zwergpinscher,2015,m,schwarz/braun
50,14550,81-90,m,12,122,Biewer Yorkshire Terrier,2015,w,tricolor
51,14693,41-50,m,11,111,Chihuahua,2007,w,weiss/grau
52,15456,41-50,m,2,21,Chihuahua,2015,w,schwarz/weiss
53,15456,41-50,m,2,21,Chihuahua,2010,m,schwarz
54,15490,61-70,m,9,92,Parson Jack Russell Terrier,2015,m,weiss/blau
55,15639,51-60,m,11,119,Malteser,2013,w,weiss
56,18020,51-60,m,5,52,Labrador Retriever,2011,w,schwarz
57,18360,41-50,w,3,31,Husky,2010,w,weiss
58,18416,61-70,m,7,72,Zwergspitz,2016,m,weiss
59,18462,51-60,m,6,63,Border Collie,2015,m,tricolor
60,18805,41-50,w,6,63,Jack Russel Terrier,2008,m,tricolor
61,19004,51-60,m,5,52,Malteser,2014,m,weiss
62,19141,61-70,m,4,42,Bolonka Zwetna,2012,m,schwarz
63,19225,61-70,w,12,122,Neufundländer,2016,m,braun/weiss
64,19652,51-60,w,2,24,Mischling klein,2007,w,braun
65,19839,51-60,m,2,23,Labrador Retriever,2009,w,schwarz
66,19900,41-50,w,5,51,Spitz,2015,m,braun/schwarz
67,20268,31-40,w,5,52,Parson Russell Terrier,2007,m,tricolor
68,20268,31-40,w,5,52,Chihuahua,2008,m,weiss/grau
69,20483,61-70,m,12,121,Terrier,2002,m,black/tan
70,20510,41-50,m,9,91,Berger blanc Suisse,2006,m,weiss
71,20762,51-60,m,4,42,Zwergpudel,2012,m,apricot
72,20949,61-70,m,11,111,Shiba Inu,2014,w,beige
73,21002,61-70,m,7,71,Mischling gross,2011,m,creme
74,21270,41-50,m,8,81,Grosspudel,2012,m,braun
75,21393,51-60,m,2,24,Französische Bulldogge,2012,m,blue
76,21828,71-80,w,7,74,Spitz,2013,m,weiss/beige
77,21865,61-70,m,6,61,Foxterrier,2005,m,tricolor
78,22186,41-50,m,8,82,Labrador Retriever,2009,m,schwarz
79,22378,51-60,m,7,72,Kooiker,2010,w,weiss/orange
80,22479,51-60,m,7,72,Mischling klein,2001,w,grau gestromt
81,22776,51-60,m,11,119,Berner Sennenhund,2014,m,tricolor
82,22950,51-60,w,11,119,Mittelpudel,2013,w,schwarz
83,22956,41-50,m,10,101,Cocker Spaniel,2014,m,orange Schimmel
84,23054,61-70,w,10,101,Cairn Terrier,2011,m,rot/beige
85,23408,31-40,m,12,122,Yorkshire Terrier,2011,w,black/tan
86,23493,61-70,m,11,111,Boxer,2013,m,braun/weiss
87,23590,61-70,w,9,92,Pinscher,2012,w,schwarz
88,23889,61-70,w,4,42,Pudel,2012,m,braun
89,24009,61-70,w,7,74,Labradoodle,2016,m,creme
90,24014,51-60,w,12,123,Yorkshire Terrier,2007,w,blue/tan
91,40684,71-80,m,7,74,Labrador Retriever,2004,m,blondfarben
92,54322,71-80,m,3,33,Lagotto Romagnolo,2009,m,weiss/orange
93,54926,81-90,m,2,21,Jack Russel Terrier,2002,m,tricolor
94,55176,71-80,m,3,34,Dobermann,2003,w,schwarz/braun
95,60348,71-80,m,11,111,Mischling klein,2013,w,schwarz/weiss
96,60397,51-60,m,7,74,Deutscher Schäfer,2005,w,grau/schwarz
97,60402,61-70,w,11,111,Mischling klein,2013,m,dunkelbraun
98,60402,61-70,w,11,111,Border Terrier,2004,m,rot/grau/schwarz
99,61323,71-80,m,8,81,Mudi,2010,m,blondfarben
100,62389,71-80,m,8,83,Boxer,2014,w,gestromt
101,62621,71-80,m,11,111,Papillon,2004,w,schwarz/weiss
102,62628,61-70,m,7,72,Yorkshire Terrier,2007,w,graubraun
103,63468,81-90,m,7,74,Mischling klein,2003,m,braun/weiss
104,63704,71-80,m,10,101,Dachshund,2012,w,saufarben
105,64444,61-70,m,7,71,Mischling klein,2007,w,rot/weiss
106,64718,51-60,m,11,115,Mischling klein,2004,w,weiss/braun
107,64727,51-60,m,8,83,Border Collie,2003,m,schwarz/weiss
108,65665,61-70,w,8,82,Mops,2002,m,beige
109,65665,61-70,w,8,82,Mops,2002,m,schwarz
110,65681,51-60,m,2,21,Italienisches Windspiel,2011,m,blau
111,65713,61-70,w,2,21,Lagotto Romagnolo,2005,w,braun
112,65732,51-60,m,7,72,Holländischer Schäfer,2009,m,gestromt
113,65758,51-60,w,7,71,Welsh Springer Spaniel,2002,w,rot/weiss
114,65758,51-60,w,7,71,Yorkshire Terrier,2007,m,black/tan
115,65940,41-50,w,8,81,Berner Sennenhund,2010,w,tricolor
116,65975,61-70,w,7,74,Labrador Retriever,2002,w,braun
117,65975,61-70,w,7,74,Labrador Retriever,2006,m,schwarz
118,65981,51-60,w,6,63,Labrador Retriever,2013,m,gelb
119,66144,51-60,m,5,51,Deutsche Dogge,2013,w,gelb
120,66144,51-60,m,5,51,Labrador Retriever,2006,m,braun
121,66151,51-60,m,11,115,Deutscher Schäfer,2008,w,schwarz/braun/weiss
122,66266,61-70,m,9,91,Mischling klein,2006,w,tricolor
123,66298,41-50,m,6,63,Magyar Viszla,2010,m,gelb
124,66515,61-70,m,8,83,Labrador Retriever,2007,w,braun
125,66515,61-70,m,8,83,Labrador Retriever,2011,w,braun
126,66702,61-70,w,6,61,Zwergpudel,2008,w,apricot
127,66757,51-60,w,1,14,Mischling gross,2012,m,braun/beige
128,66869,51-60,w,2,24,Havaneser,2015,m,braun/rot
129,66898,41-50,m,7,73,Coton de Tulear,2010,m,weiss
130,66913,51-60,m,8,83,Hovawart,2004,w,blondfarben
131,66913,51-60,m,8,83,Hovawart,2012,w,schwarz
132,67001,51-60,w,3,34,Mops,2013,m,beige
133,67018,71-80,w,6,61,Labrador Retriever,2012,m,beige
134,67125,51-60,m,7,74,Golden Retriever,2001,m,golden
135,67135,31-40,m,6,61,Jack Russel Terrier,2010,w,tricolor
136,67180,51-60,w,1,11,English Cocker Spaniel,2004,w,blauschimmel
137,67220,61-70,m,6,61,Mischling klein,2010,m,braun
138,67272,31-40,w,3,33,Beagle,2017,w,tricolor
139,67308,41-50,w,11,111,Shih Tzu,2012,w,braun/weiss
140,70076,31-40,m,9,92,Labrador Retriever,2009,m,braun
141,70115,41-50,w,4,41,Mischling gross,2016,m,schwarz/weiss
142,70176,41-50,w,4,44,Mischling gross,2012,w,weiss
143,70287,51-60,m,2,24,Hirtenhund,2006,m,weiss/grau
144,70296,51-60,w,7,74,Pinscher,2009,m,hellbraun
145,70296,51-60,w,7,74,Mischling klein,2010,w,weiss/beige
146,70577,51-60,w,3,34,Mischling klein,2003,w,schwarz
147,70788,31-40,m,7,71,Mops,2014,w,braun
148,70793,71-80,m,11,115,Soft Coated Wheaten Terrier,2012,m,beige
149,71024,61-70,w,7,74,Lagotto Romagnolo,2012,w,bianco-aranico
150,71119,51-60,w,11,115,Chihuahua,2010,m,black/tan
151,71119,51-60,w,11,115,Prager Rattler,2010,w,black/tan
152,71119,51-60,w,11,115,Zwergpinscher,2003,w,black/tan
153,71142,51-60,w,7,71,Canaan Dog,2008,m,schwarz
154,71555,61-70,m,7,71,Mischling klein,2009,m,schwarz schimmel
155,71670,61-70,m,7,71,Deutscher Schäfer,2012,w,braun
156,71757,41-50,m,4,42,Bouvier,2012,m,gestromt
157,71761,41-50,m,9,92,Jack Russel Terrier,2010,m,tricolor
158,71893,41-50,w,6,63,Border Collie,2012,w,tricolor
159,71915,71-80,w,1,13,Mischling klein,2002,m,grau
160,71991,41-50,m,6,63,Border Collie,2015,m,schwarz/weiss
161,72136,61-70,m,7,72,Labrador Retriever,2007,m,choco
162,72580,41-50,m,10,102,Prager Rattler,2013,m,hellbraun
163,72580,41-50,m,10,102,Prager Rattler,2013,m,braun
164,80007,71-80,m,11,111,Labrador Retriever,2006,m,blondfarben
165,80011,41-50,w,12,123,Papillon,2001,w,schwarz
166,80011,41-50,w,12,123,Malteser,2004,m,weiss
167,80011,41-50,w,12,123,Yorkshire Terrier,2009,m,tricolor
168,80011,41-50,w,12,123,Jura Laufhund,2003,m,schwarz/braun/weiss
169,80017,61-70,m,6,61,Spanischer Wasserhund,2004,w,braun/weiss
170,80017,61-70,m,6,61,Labrador Retriever,2006,w,schwarz
171,80021,41-50,w,11,111,Labrador Retriever,2011,w,schwarz
172,80023,71-80,m,11,111,Border Collie,2010,m,tricolor
173,80028,41-50,w,10,101,Border Collie,2015,w,tricolor
174,80056,81-90,m,7,74,Labrador Retriever,2006,w,schwarz
175,80059,71-80,w,12,123,Französische Bulldogge,2007,w,weiss
176,80068,51-60,m,9,91,Bayerischer Gebirgsschweisshund,2011,m,hirschrot mit Maske
177,80096,51-60,w,11,111,Malteser,2004,m,weiss
178,80097,61-70,m,6,61,Jack Russel Terrier,2006,m,schwarz/weiss
179,80099,71-80,m,12,123,Pinscher,2002,m,rot
180,80106,61-70,w,9,91,Labrador Retriever,2009,m,schwarz
181,80127,41-50,w,10,101,American Bulldog,2005,w,weiss
182,80143,81-90,w,9,92,Yorkshire Terrier,2007,w,schwarz/braun
183,80157,71-80,w,11,111,Mischling klein,2003,w,braun/weiss
184,80162,51-60,m,12,123,Parson Jack Russell Terrier,2008,m,weiss/rot
185,80162,51-60,m,12,123,Bouvier,2008,w,schwarz
186,80168,61-70,m,11,119,Labrador Retriever,2005,m,beige
187,80169,41-50,w,4,42,Jack Russel Terrier,2014,m,schwarz
188,80169,41-50,w,4,42,Jack Russel Terrier,2007,w,tricolor
189,80172,61-70,m,9,91,Labrador Retriever,2008,m,schwarz
190,80185,41-50,m,10,102,Labrador Retriever,2010,w,blondfarben
191,80187,51-60,w,3,31,Golden Retriever,2003,w,blondfarben
192,80188,51-60,w,10,101,Mischling klein,2014,m,braun
193,80198,81-90,w,7,74,Biewer Yorkshire Terrier,2015,m,tricolor
194,80201,51-60,m,3,31,Mischling klein,2007,w,schwarz
195,80204,51-60,w,11,111,Appenzeller,1998,m,dreifarbig
196,80205,41-50,m,5,51,Beauceron Berge de Beauce,2016,m,schwarz/braun
197,80205,41-50,m,5,51,Beauceron,2005,m,black/tan
198,80209,81-90,m,10,102,Bichon Havanais,2000,w,weiss
199,80217,51-60,w,3,33,Foxterrier,2007,w,braun/weiss
200,80223,41-50,m,11,111,Dachshund,2011,w,hellbraun
201,80226,71-80,w,6,61,Labrador Retriever,2010,m,braun
202,80230,61-70,w,9,92,Yorkshire Terrier,2006,m,braun/weiss
203,80230,61-70,w,9,92,Yorkshire Terrier,2006,w,schwarz/braun
204,80248,51-60,m,4,42,Jack Russel Terrier,2009,w,braun/weiss
205,80258,51-60,m,11,111,Dackel,2009,w,rot/schwarz
206,80258,51-60,m,11,111,Weimaraner,2016,w,grau
207,80267,41-50,m,12,122,Mischling klein,2006,m,braun
208,80272,51-60,m,9,91,Terrier,2007,m,black/tan
209,80306,61-70,m,9,91,Border Terrier,2005,m,grau/braun
210,80317,81-90,w,7,74,Windspiel,2001,w,blue
211,80319,41-50,w,10,102,Dackel,2010,w,tricolor
212,80319,41-50,w,10,102,Mischling klein,2006,m,braun/schwarz
213,80330,71-80,w,12,123,Husky,2004,w,braun/weiss
214,80335,61-70,w,12,122,Irish Setter,2008,m,braun
215,80335,61-70,w,12,122,Irish Setter,2008,m,braun
216,80351,81-90,w,3,33,Bearded Collie,2005,w,braun/weiss
217,80370,51-60,m,12,121,Deutscher Schäfer,2016,m,schwarz/braun
218,80380,71-80,m,2,23,Mischling klein,2007,w,tricolor
219,80382,51-60,w,10,102,Dachshund,2008,m,braun
220,80383,81-90,w,4,44,Bichon,1999,w,weiss
221,80399,61-70,w,12,123,Appenzeller,1998,m,tricolor
222,80404,61-70,m,7,72,Deutscher Wachtel,2015,m,braun schimmel
223,80404,61-70,m,7,72,Rottweiler,2005,w,schwarz
224,80406,61-70,m,11,111,Labrador Retriever,2008,w,schwarz
225,80407,71-80,m,7,72,Labrador Retriever,2012,w,schwarz
226,80410,51-60,w,7,73,Labrador Retriever,2012,w,schwarz
227,80412,51-60,m,2,21,Labrador Retriever,2012,m,schwarz
