Description;Product2ID;OpportunityID;PriceBookEntryID;Quantity;UnitPrice
"""A bundle for €2.000,00""";"""01t0900000AR2a9AAD""";"""0060900000SyNicAAF""";"""01u0900000lP487AAC""";"""1""";"""31"""
"""A bundle for €2.000,00""";"""01t0900000BCRznAAH""";"""0060900000SyNicAAF""";"""01u0900000oFIcYAAW""";"""1""";"""1000"""
"""A bundle for €2.000,00""";"""01t0900000AR3SLAA1""";"""0060900000SyNicAAF""";"""01u0900000lP4ERAA0""";"""1""";"""1700"""
"""A bundle for €2.000,00""";"""01t0900000AR3SBAA1""";"""0060900000SyNicAAF""";"""01u0900000lP4EHAA0""";"""1""";"""10,5"""
"""A bundle for €2.000,00""";"""01t0900000AR3S0AAL""";"""0060900000SyNicAAF""";"""01u0900000lP4E6AAK""";"""1""";"""10,5"""
"""A bundle for €2.000,00""";"""01t0900000AR2aKAAT""";"""0060900000SyNicAAF""";"""01u0900000lP48IAAS""";"""1""";"""31"""
"""A bundle for €75.000,00""";"""01t0900000BCPWKAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiLAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWLAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiMAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWMAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiNAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWNAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiOAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWOAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiPAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWPAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiQAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWQAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiRAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000AR2cwAAD""";"""0060900000SyNidAAF""";"""01u0900000lP4AuAAK""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWRAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiSAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000AR2cyAAD""";"""0060900000SyNidAAF""";"""01u0900000lP4AwAAK""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000AR2d0AAD""";"""0060900000SyNidAAF""";"""01u0900000lP4AyAAK""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWSAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiTAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWTAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiUAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWUAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiVAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000BCPWVAA5""";"""0060900000SyNidAAF""";"""01u0900000oFHiWAAW""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000AR2cvAAD""";"""0060900000SyNidAAF""";"""01u0900000lP4AtAAK""";"""1""";"""768,75"""
"""A bundle for €75.000,00""";"""01t0900000AR3ThAAL""";"""0060900000SyNidAAF""";"""01u0900000lP4FnAAK""";"""1""";"""2064,6"""
"""A bundle for €75.000,00""";"""01t0900000AR3TgAAL""";"""0060900000SyNidAAF""";"""01u0900000lP4FmAAK""";"""1""";"""2064,6"""
"""A bundle for €75.000,00""";"""01t0900000AR3TfAAL""";"""0060900000SyNidAAF""";"""01u0900000lP4FlAAK""";"""1""";"""2064,6"""
